[2025-02-25T05:53:18.197Z] [error]: Server closed
[2025-02-25T05:53:18.222Z] [error]: Server closed
[2025-02-25T05:53:18.223Z] [error]: Server closed
[2025-02-25T05:53:24.970Z] [error]: Server closed
[2025-02-25T05:53:24.984Z] [error]: Server closed
[2025-02-25T05:53:24.984Z] [error]: Server closed
[2025-02-25T05:53:28.066Z] [error]: Server closed
[2025-02-25T05:53:45.095Z] [error]: Server closed
[2025-02-25T05:53:45.115Z] [error]: Server closed
[2025-02-25T05:53:45.116Z] [error]: Server closed
[2025-02-25T06:02:26.635Z] [error]: HIDE::400::ErrorResponse::Invalid request body!::
[2025-02-25T06:02:32.342Z] [error]: HIDE::400::ErrorResponse::Invalid request body!::
[2025-02-25T06:02:35.697Z] [error]: HIDE::400::ErrorResponse::Invalid request body!::
[2025-02-25T06:02:47.711Z] [error]: HIDE::404::NotFound::User is exists!::
[2025-02-25T06:02:55.822Z] [error]: HIDE::404::NotFound::User is exists!::
[2025-02-25T06:04:50.192Z] [error]: HIDE::400::ErrorResponse::Invalid request body!::
[2025-02-25T06:04:56.603Z] [error]: HIDE::400::ErrorResponse::Invalid request body!::
[2025-02-25T06:05:12.501Z] [error]: HIDE::400::ErrorResponse::Invalid request body!::
[2025-02-25T06:06:17.621Z] [error]: HIDE::400::ErrorResponse::Invalid request body!::
[2025-02-25T06:06:42.150Z] [error]: HIDE::400::ErrorResponse::Invalid request body!::
[2025-02-25T06:06:47.976Z] [error]: HIDE::400::ErrorResponse::Invalid request body!::
[2025-02-25T06:07:20.958Z] [error]: HIDE::400::ErrorResponse::Invalid request body!::
[2025-02-25T06:08:21.961Z] [error]: HIDE::400::ErrorResponse::Invalid request body!::
[2025-02-25T09:03:41.778Z] [error]: HIDE::403::Forbidden::Token is removed!::
[2025-02-25T09:04:14.358Z] [error]: HIDE::403::Forbidden::Token is removed!::
[2025-02-25T09:04:50.192Z] [error]: HIDE::403::Forbidden::Token is removed!::
[2025-02-25T09:05:05.141Z] [error]: HIDE::400::ErrorResponse::Invalid request body!::
[2025-02-25T09:05:09.624Z] [error]: HIDE::403::Forbidden::Token is removed!::
[2025-02-25T09:05:53.668Z] [error]: HIDE::403::Forbidden::Token is removed!::
[2025-02-25T11:36:41.337Z] [error]: HIDE::403::Forbidden::Token is removed!::
[2025-02-25T11:37:56.960Z] [error]: HIDE::403::Forbidden::Token is removed!::
[2025-02-25T12:01:36.994Z] [error]: HIDE::403::Forbidden::Token is removed!::
[2025-02-25T12:01:46.444Z] [error]: HIDE::403::Forbidden::Token is removed!::
[2025-02-25T12:02:36.384Z] [error]: HIDE::403::Forbidden::Token is removed!::
[2025-02-25T12:05:00.117Z] [error]: TokenExpiredError: jwt expired
[2025-02-25T12:05:00.118Z] [error]: TokenExpiredError: jwt expired
[2025-02-25T12:05:00.119Z] [error]: TokenExpiredError: jwt expired
[2025-02-25T12:06:00.101Z] [error]: TokenExpiredError: jwt expired
[2025-02-25T12:06:00.102Z] [error]: TokenExpiredError: jwt expired
[2025-02-25T12:06:00.102Z] [error]: TokenExpiredError: jwt expired
[2025-02-25T12:07:00.102Z] [error]: TokenExpiredError: jwt expired
[2025-02-25T12:07:00.103Z] [error]: TokenExpiredError: jwt expired
[2025-02-25T12:07:00.103Z] [error]: TokenExpiredError: jwt expired
[2025-02-25T12:16:00.165Z] [error]: Error: Not implemented
[2025-02-25T12:17:31.962Z] [error]: HIDE::403::Forbidden::Token is removed!::
[2025-02-25T12:18:23.207Z] [error]: HIDE::403::Forbidden::Token is removed!::
[2025-02-25T12:18:29.669Z] [error]: HIDE::403::Forbidden::Token is removed!::
[2025-02-25T12:41:18.732Z] [error]: HIDE::403::Forbidden::Token is removed!::
[2025-02-25T12:42:22.744Z] [error]: HIDE::403::Forbidden::jwt expired::
[2025-02-25T15:02:00.136Z] [error]: ValidationError: access_tokens.0: Cast to [string] failed for value "[ Promise { <pending> } ]" (type string) at path "access_tokens.0" because of "CastError", refresh_tokens.0: Cast to [string] failed for value "[ Promise { <pending> } ]" (type string) at path "refresh_tokens.0" because of "CastError"
[2025-02-25T15:03:00.104Z] [error]: ValidationError: access_tokens.0: Cast to [string] failed for value "[ Promise { <pending> } ]" (type string) at path "access_tokens.0" because of "CastError", refresh_tokens.0: Cast to [string] failed for value "[ Promise { <pending> } ]" (type string) at path "refresh_tokens.0" because of "CastError"
